triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
101111_01111_00,y,0,4.012699ms,31.428588ms,21.891414618s,21.926855905s
00111011_0111_1,y,0,3.898581ms,27.041223ms,20.961301352s,20.992241156s
010000_1111_000,y,0,4.081376ms,37.608581ms,23.376106342s,23.417796299s
011000_01000_11,y,0,3.679897ms,26.761462ms,20.161719356s,20.192160715s
01110111_0000_1,y,0,3.836944ms,32.788045ms,20.654113114s,20.690738103s
0010000_0000_11,y,0,3.883975ms,32.964979ms,22.028279106s,22.06512806s
01000000_011_00,y,0,4.031007ms,27.539737ms,20.278503512s,20.310074256s
01110111_0100_1,y,0,3.884918ms,28.508032ms,20.069582289s,20.101975239s
0100100100_00_1,y,0,4.086974ms,25.936563ms,18.801626319s,18.831649856s
010001000_000_1,y,0,3.963509ms,29.641493ms,21.313223435s,21.346828437s
01101111_000_11,y,0,4.048437ms,33.83189ms,21.964283632s,22.002163959s
01001000_0111_1,y,0,3.870645ms,27.929681ms,19.268463997s,19.300264323s
